club_id,name,pretty_name,domestic_competition,league_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
2282,fc-brugge,Fc Brugge,BE1,BE1,108.32,24,24.7,13,54.2,7,Jan-Breydel-Stadion,29062,+£10.80m,Michel Preud'homme,https://www.transfermarkt.co.uk/fc-brugge/startseite/verein/2282
33,fc-schalke-04,Fc Schalke 04,L1,L1,71.35,30,25.5,18,60.0,8,Veltins-Arena,62271,+£27.86m,André Breitenreiter,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
641,fc-middlesbrough,Fc Middlesbrough,GB1,GB1,36.36,24,25.9,5,20.8,1,Riverside Stadium,33746,£-783Th.,Aitor Karanka,https://www.transfermarkt.co.uk/fc-middlesbrough/startseite/verein/641
3008,hull-city,Hull City,GB1,GB1,9.5,25,24.5,8,32.0,1,KCOM Stadium,24983,+-0,Steve Bruce,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
1132,fc-burnley,Fc Burnley,GB1,GB1,116.19,23,29.4,9,39.1,7,Turf Moor,21994,£-4.23m,Sean Dyche,https://www.transfermarkt.co.uk/fc-burnley/startseite/verein/1132
3691,tom-tomsk,Tom Tomsk,RU1,RU1,4.37,24,24.7,1,4.2,0,Trud,10028,£-31Th.,Valeri Petrakov,https://www.transfermarkt.co.uk/tom-tomsk/startseite/verein/3691
8838,zirka-kropyvnytskyi,Zirka Kropyvnytskyi,UKR1,UKR1,,0,0.0,0,,0,Zirka,14628,+-0,Sergiy Lavrynenko,https://www.transfermarkt.co.uk/zirka-kropyvnytskyi/startseite/verein/8838
1159,as-nancy-lorraine,As Nancy Lorraine,FR1,FR1,9.63,19,24.8,8,42.1,1,Stade Marcel-Picot,20087,+-0,Pablo Correa,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
2969,dijon-fco,Dijon Fco,FR1,FR1,41.31,31,25.4,16,51.6,6,Stade Gaston-Gérard,16098,+-0,Olivier Dall'Oglio,https://www.transfermarkt.co.uk/dijon-fco/startseite/verein/2969
347,fc-metz,Fc Metz,FR1,FR1,78.66,28,24.5,18,64.3,10,Stade Saint-Symphorien,26700,+£3.69m,Philippe Hinschberger,https://www.transfermarkt.co.uk/fc-metz/startseite/verein/347
14589,fk-orenburg,Fk Orenburg,RU1,RU1,7.72,24,25.7,5,20.8,1,Gazovik,7500,+£176Th.,Robert Evdokimov,https://www.transfermarkt.co.uk/fk-orenburg/startseite/verein/14589
3729,arsenal-tula,Arsenal Tula,RU1,RU1,21.78,27,27.5,11,40.7,7,Arsenal,19241,£-126Th.,Sergey Pavlov,https://www.transfermarkt.co.uk/arsenal-tula/startseite/verein/3729
3349,cd-feirense,Cd Feirense,PO1,PO1,5.33,27,25.3,14,51.9,2,Estádio Marcolino de Castro,5401,+£1.08m,José Mota,https://www.transfermarkt.co.uk/cd-feirense/startseite/verein/3349
331,ca-osasuna,Ca Osasuna,ES1,ES1,73.89,27,28.2,4,14.8,1,El Sadar,23576,£-7.83m,Enrique Martín,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
1108,deportivo-alaves,Deportivo Alaves,ES1,ES1,58.05,28,26.7,7,25.0,5,Mendizorrotza,19840,+£3.15m,Mauricio Pellegrino,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
1244,cd-leganes,Cd Leganes,ES1,ES1,22.73,22,26.7,7,31.8,2,Municipal de Butarque,12454,+-0,Asier Garitano,https://www.transfermarkt.co.uk/cd-leganes/startseite/verein/1244
1245,kas-eupen,Kas Eupen,BE1,BE1,13.79,28,25.0,17,60.7,3,Kehrweg-Stadion,8331,+-0,Jordi Condom,https://www.transfermarkt.co.uk/kas-eupen/startseite/verein/1245
3325,gd-chaves,Gd Chaves,PO1,PO1,3.17,24,27.5,12,50.0,2,Estádio Municipal Eng.º Manuel Branco Teixeira,9000,+-0,Jorge Simão,https://www.transfermarkt.co.uk/gd-chaves/startseite/verein/3325
468,sparta-rotterdam,Sparta Rotterdam,NL1,NL1,13.64,21,26.2,6,28.6,3,"Sparta-stadion ""Het Kasteel""",11026,+-0,Alex Pastoor,https://www.transfermarkt.co.uk/sparta-rotterdam/startseite/verein/468
1435,go-ahead-eagles-deventer,Go Ahead Eagles Deventer,NL1,NL1,4.82,24,23.5,8,33.3,1,De Adelaarshorst,9909,+£1.71m,Hans de Koning,https://www.transfermarkt.co.uk/go-ahead-eagles-deventer/startseite/verein/1435
60,sc-freiburg,Sc Freiburg,L1,L1,119.39,26,25.3,10,38.5,6,SC-Stadion,34700,+-0,Christian Streich,https://www.transfermarkt.co.uk/sc-freiburg/startseite/verein/60
23826,rasenballsport-leipzig,Rasenballsport Leipzig,L1,L1,506.34,32,24.2,24,75.0,18,Red Bull Arena,42146,+£344Th.,Ralph Hasenhüttl,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826
1390,cagliari-calcio,Cagliari Calcio,IT1,IT1,139.03,31,25.9,17,54.8,9,Unipol Domus,16416,£-8.10m,Massimo Rastelli,https://www.transfermarkt.co.uk/cagliari-calcio/startseite/verein/1390
4083,fc-crotone,Fc Crotone,IT1,IT1,25.58,26,24.7,12,46.2,5,Ezio Scida,16640,£-1.13m,Davide Nicola,https://www.transfermarkt.co.uk/fc-crotone/startseite/verein/4083
1506,kardemir-karabukspor,Kardemir Karabukspor,TR1,TR1,653.0,25,21.3,0,,0,Dr. Necmettin Şeyhoğlu,12400,+-0,Igor Tudor,https://www.transfermarkt.co.uk/kardemir-karabukspor/startseite/verein/1506
6,adanaspor,Adanaspor,TR1,TR1,4.05,34,25.0,10,29.4,1,Yeni Adana Stadyumu,33000,+-0,Engin Ipekoglu,https://www.transfermarkt.co.uk/adanaspor/startseite/verein/6
2414,ac-horsens,Ac Horsens,DK1,DK1,4.55,21,24.8,4,19.0,1,Casa Arena Horsens,10400,+-0,Bo Henriksen,https://www.transfermarkt.co.uk/ac-horsens/startseite/verein/2414
1177,silkeborg-if,Silkeborg If,DK1,DK1,6.3,28,23.1,4,14.3,2,JYSK Park,10000,+-0,Peter Sörensen,https://www.transfermarkt.co.uk/silkeborg-if/startseite/verein/1177
369,lyngby-bk,Lyngby Bk,DK1,DK1,5.06,26,24.4,3,11.5,1,Lyngby Stadion,10000,+£1.08m,David Nielsen,https://www.transfermarkt.co.uk/lyngby-bk/startseite/verein/369
11282,alanyaspor,Alanyaspor,TR1,TR1,33.39,33,25.9,11,33.3,4,Bahçeşehir Okulları Stadyumu,10128,+£146Th.,Hüseyin Kalpar,https://www.transfermarkt.co.uk/alanyaspor/startseite/verein/11282
5219,aok-kerkyra,Aok Kerkyra,GR1,GR1,9.0,9,22.2,2,22.2,0,Ethniko Stadio Kerkyras,3000,+-0,Michalis Grigoriou,https://www.transfermarkt.co.uk/aok-kerkyra/startseite/verein/5219
4603,ae-larisa,Ae Larisa,GR1,GR1,6.26,35,24.4,8,22.9,2,Stadio Alkazar,13108,+£95Th.,Angelos Anastasiadis,https://www.transfermarkt.co.uk/ae-larisa/startseite/verein/4603
2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,IT1,6.39,30,24.0,11,36.7,1,Adriatico,20476,+£2.48m,Massimo Oddo,https://www.transfermarkt.co.uk/delfino-pescara-1936/startseite/verein/2921
124,glasgow-rangers,Glasgow Rangers,SC1,SC1,95.67,32,27.2,25,78.1,14,Ibrox Stadium,50987,+-0,Mark Warburton,https://www.transfermarkt.co.uk/glasgow-rangers/startseite/verein/124
1110,huddersfield-town,Huddersfield Town,GB1,GB1,30.69,28,25.4,8,28.6,2,John Smith's Stadium,24500,+-0,David Wagner,https://www.transfermarkt.co.uk/huddersfield-town/startseite/verein/1110
1237,brighton-amp-hove-albion,Brighton Amp Hove Albion,GB1,GB1,251.19,32,25.4,22,68.8,15,AMEX Stadium,30666,£-19.71m,Chris Hughton,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
667,rc-strassburg-alsace,Rc Strassburg Alsace,FR1,FR1,70.16,24,26.2,13,54.2,5,Stade de la Meinau,29000,+£13.05m,Thierry Laurey,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667
1416,amiens-sc,Amiens Sc,FR1,FR1,18.09,29,24.1,17,58.6,9,Stade de la Licorne,12999,+£5.40m,Christophe Pélissier,https://www.transfermarkt.co.uk/amiens-sc/startseite/verein/1416
40426,fk-tosno,Fk Tosno,RU1,RU1,,0,0.0,0,,0,Petrovsky,20985,+-0,Dmitri Parfenov,https://www.transfermarkt.co.uk/fk-tosno/startseite/verein/40426
3690,ska-khabarovsk,Ska Khabarovsk,RU1,RU1,5.85,29,25.2,5,17.2,1,Lenin Stadion,15200,+£26Th.,Aleksey Poddubskiy,https://www.transfermarkt.co.uk/ska-khabarovsk/startseite/verein/3690
7378,portimonense-sc,Portimonense Sc,PO1,PO1,16.74,27,25.7,20,74.1,4,Portimonense Estádio,6000,+£2.25m,Vítor Oliveira,https://www.transfermarkt.co.uk/portimonense-sc/startseite/verein/7378
3336,desportivo-aves,Desportivo Aves,PO1,PO1,180.0,1,26.5,1,100.0,0,Estádio CD das Aves,5441,+-0,Ricardo Soares,https://www.transfermarkt.co.uk/desportivo-aves/startseite/verein/3336
12321,fc-girona,Fc Girona,ES1,ES1,18.81,22,27.1,10,45.5,1,Municipal de Montilivi,11286,+£630Th.,Pablo Machín,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
1426,vvv-venlo,Vvv Venlo,NL1,NL1,6.35,20,24.1,6,30.0,1,Covebo Stadion - De Koel,8000,+-0,Maurice Steijn,https://www.transfermarkt.co.uk/vvv-venlo/startseite/verein/1426
132,nac-breda,Nac Breda,NL1,NL1,5.85,22,24.3,7,31.8,3,Rat Verlegh Stadion,19000,+-0,Jo Jansen,https://www.transfermarkt.co.uk/nac-breda/startseite/verein/132
1096,royal-antwerpen-fc,Royal Antwerpen Fc,BE1,BE1,41.63,30,25.1,16,53.3,5,De Bosuil,15402,£-9.45m,László Bölöni,https://www.transfermarkt.co.uk/royal-antwerpen-fc/startseite/verein/1096
26459,nk-veres-rivne,Nk Veres Rivne,UKR1,UKR1,5.13,27,27.1,1,3.7,0,Avangard,12080,+-0,Yuriy Virt,https://www.transfermarkt.co.uk/nk-veres-rivne/startseite/verein/26459
6993,fk-mariupol,Fk Mariupol,UKR1,UKR1,6.05,21,22.2,0,,0,Stadion im. Volodymyra Boyko,12680,+-0,Oleksandr Sevidov,https://www.transfermarkt.co.uk/fk-mariupol/startseite/verein/6993
2722,spal,Spal,IT1,IT1,17.84,23,23.4,8,34.8,1,Paolo Mazza,16134,+£5.85m,Leonardo Semplici,https://www.transfermarkt.co.uk/spal/startseite/verein/2722
3999,pas-lamia-1964,Pas Lamia 1964,GR1,GR1,7.56,35,27.6,12,34.3,3,"Stadio Lamia ""Athanasios Diakos""",5500,+-0,Babis Tennes,https://www.transfermarkt.co.uk/pas-lamia-1964/startseite/verein/3999
19789,yeni-malatyaspor,Yeni Malatyaspor,TR1,TR1,17.46,31,24.7,12,38.7,4,Yeni Malatya Stadyumu,25745,£-494Th.,Ertugrul Saglam,https://www.transfermarkt.co.uk/yeni-malatyaspor/startseite/verein/19789
1467,goztepe,Goztepe,TR1,TR1,24.73,32,25.0,10,31.3,2,Gürsel Aksel Stadyumu,19713,£-1.35m,Tamer Tuna,https://www.transfermarkt.co.uk/goztepe/startseite/verein/1467
441,apollon-smyrnis,Apollon Smyrnis,GR1,GR1,5.38,22,27.6,9,40.9,1,"Gipedo Rizoupolis ""Georgios Kamaras""",14200,+-0,Apostolos Mantzios,https://www.transfermarkt.co.uk/apollon-smyrnis/startseite/verein/441
4171,benevento-calcio,Benevento Calcio,IT1,IT1,23.78,32,25.7,12,37.5,5,Ciro Vigorito,16867,+£720Th.,Marco Baroni,https://www.transfermarkt.co.uk/benevento-calcio/startseite/verein/4171
903,hibernian-fc,Hibernian Fc,SC1,SC1,16.79,24,26.2,9,37.5,6,Easter Road Stadium,20250,£-209Th.,Neil Lennon,https://www.transfermarkt.co.uk/hibernian-fc/startseite/verein/903
22110,fc-helsingor,Fc Helsingor,DK1,DK1,3.56,22,26.2,5,22.7,2,Helsingør Ny Stadion,4000,+-0,Christian Lönstrup,https://www.transfermarkt.co.uk/fc-helsingor/startseite/verein/22110
366,real-valladolid,Real Valladolid,ES1,ES1,52.25,35,27.6,9,25.7,4,Estadio Nuevo José Zorrilla,27618,£-1.80m,Sergio,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
5358,sd-huesca,Sd Huesca,ES1,ES1,27.0,20,27.4,5,25.0,1,El Alcoraz,7800,+-0,Leo Franco,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
1160,nimes-olympique,Nimes Olympique,FR1,FR1,35.15,23,24.4,11,47.8,8,Stade des Costières,18364,+£5.67m,Bernard Blaquart,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
603,cardiff-city,Cardiff City,GB1,GB1,36.77,25,26.2,21,84.0,7,Cardiff City Stadium,33280,+£900Th.,Neil Warnock,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
543,wolverhampton-wanderers,Wolverhampton Wanderers,GB1,GB1,369.59,31,25.2,27,87.1,16,Molineux Stadium,32050,£-13.32m,Nuno Espírito Santo,https://www.transfermarkt.co.uk/wolverhampton-wanderers/startseite/verein/543
2423,cd-santa-clara,Cd Santa Clara,PO1,PO1,16.7,26,26.4,15,57.7,2,Estádio de São Miguel,15000,+£1.98m,João Henriques,https://www.transfermarkt.co.uk/cd-santa-clara/startseite/verein/2423
931,fc-fulham,Fc Fulham,GB1,GB1,148.55,28,27.5,21,75.0,13,Craven Cottage,19000,£-11.97m,Slavisa Jokanovic,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
1283,fc-emmen,Fc Emmen,NL1,NL1,7.16,23,23.9,6,26.1,3,De Oude Meerdijk,8309,+£180Th.,Dick Lukkien,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283
385,fortuna-sittard,Fortuna Sittard,NL1,NL1,10.28,23,24.0,14,60.9,2,Fortuna Sittard Stadion,12500,+-0,René Eijer,https://www.transfermarkt.co.uk/fortuna-sittard/startseite/verein/385
520,cercle-brugge,Cercle Brugge,BE1,BE1,16.83,28,24.1,17,60.7,5,Jan-Breydel-Stadion,29062,£-900Th.,Laurent Guyot,https://www.transfermarkt.co.uk/cercle-brugge/startseite/verein/520
4,1-fc-nurnberg,1 Fc Nurnberg,L1,L1,21.98,28,25.2,5,17.9,1,Max-Morlock-Stadion,50000,+-0,Michael Köllner,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
38,fortuna-dusseldorf,Fortuna Dusseldorf,L1,L1,24.14,27,25.7,8,29.6,2,MERKUR SPIEL-ARENA,54600,£-1.10m,Friedhelm Funkel,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
3714,enisey-krasnoyarsk,Enisey Krasnoyarsk,RU1,RU1,6.66,29,26.4,1,3.4,1,Zentralstadion Krasnoyarsk,15000,+£900,Dmitri Alenichev,https://www.transfermarkt.co.uk/enisey-krasnoyarsk/startseite/verein/3714
18105,pfk-lviv,Pfk Lviv,UKR1,UKR1,7.11,25,24.8,8,32.0,1,Arena Lviv,34915,+-0,Andrey Demchenko,https://www.transfermarkt.co.uk/pfk-lviv/startseite/verein/18105
653,ofi-kreta,Ofi Kreta,GR1,GR1,11.34,30,27.2,16,53.3,3,Gipedo Theodoros Vardinogiannis,9088,+-0,Nikolaos Papadopoulos,https://www.transfermarkt.co.uk/ofi-kreta/startseite/verein/653
605,aris-thessaloniki,Aris Thessaloniki,GR1,GR1,14.63,32,27.2,19,59.4,2,"Gipedo ""Kleanthis Vikelidis""",22800,+£648Th.,Paco Herrera,https://www.transfermarkt.co.uk/aris-thessaloniki/startseite/verein/605
130,parma-calcio-1913,Parma Calcio 1913,IT1,IT1,92.3,39,26.1,24,61.5,7,Ennio Tardini,22352,£-24.39m,Roberto D'Aversa,https://www.transfermarkt.co.uk/parma-calcio-1913/startseite/verein/130
1241,livingston-fc,Livingston Fc,SC1,SC1,7.29,26,26.7,10,38.5,0,Tony Macaroni Arena,9512,+-0,Kenny Miller,https://www.transfermarkt.co.uk/livingston-fc/startseite/verein/1241
465,st-mirren-fc,St Mirren Fc,SC1,SC1,7.36,24,25.7,12,50.0,1,Simple Digital Arena,8023,+-0,Alan Stubbs,https://www.transfermarkt.co.uk/st-mirren-fc/startseite/verein/465
9007,arsenal-kiew,Arsenal Kiew,UKR1,UKR1,,0,0.0,0,,0,NSK Olimpisky,70050,+-0,Fabrizio Ravanelli,https://www.transfermarkt.co.uk/arsenal-kiew/startseite/verein/9007
16239,desna-chernigiv,Desna Chernigiv,UKR1,UKR1,7.56,20,26.1,0,,0,Stadion im. Yuriya Gagarina,12060,+-0,Oleksandr Ryabokon,https://www.transfermarkt.co.uk/desna-chernigiv/startseite/verein/16239
868,mke-ankaragucu,Mke Ankaragucu,TR1,TR1,10.91,40,25.6,12,30.0,2,Eryaman Stadyumu,20560,+-0,Ismail Kartal,https://www.transfermarkt.co.uk/mke-ankaragucu/startseite/verein/868
39722,buyuksehir-belediye-erzurumspor,Buyuksehir Belediye Erzurumspor,TR1,TR1,4.01,18,27.7,5,27.8,2,Erzurum Kazım Karabekir,23700,+-0,Mehmet Altiparmak,https://www.transfermarkt.co.uk/buyuksehir-belediye-erzurumspor/startseite/verein/39722
443,vejle-boldklub,Vejle Boldklub,DK1,DK1,10.53,30,23.6,17,56.7,3,Vejle Stadion,10418,£-1.08m,Adolfo Sormani,https://www.transfermarkt.co.uk/vejle-boldklub/startseite/verein/443
19657,vendsyssel-ff,Vendsyssel Ff,DK1,DK1,2.61,17,25.4,6,35.3,1,Nord Energi Arena,10000,+-0,Jens Berthel Askou,https://www.transfermarkt.co.uk/vendsyssel-ff/startseite/verein/19657
89,1-fc-union-berlin,1 Fc Union Berlin,L1,L1,78.57,33,26.5,14,42.4,8,An der Alten Försterei,22012,£-10.26m,Urs Fischer,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
2424,gil-vicente-fc,Gil Vicente Fc,PO1,PO1,12.22,31,25.1,22,71.0,1,Estádio Municipal de Barcelos,12504,£-558Th.,Vítor Oliveira,https://www.transfermarkt.co.uk/gil-vicente-fc/startseite/verein/2424
3911,stade-brest-29,Stade Brest 29,FR1,FR1,65.66,24,25.9,5,20.8,3,Stade Francis-Le Blé,15097,+£9.18m,Olivier Dall'Oglio,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
350,sheffield-united,Sheffield United,GB1,GB1,113.04,27,26.6,13,48.1,8,Bramall Lane,32702,+-0,Chris Wilder,https://www.transfermarkt.co.uk/sheffield-united/startseite/verein/350
237,rcd-mallorca,Rcd Mallorca,ES1,ES1,41.04,27,28.0,9,33.3,5,Son Moix,20500,+£4.50m,Vicente Moreno,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
3329,fc-famalicao,Fc Famalicao,PO1,PO1,30.15,25,23.7,19,76.0,0,Estádio Municipal de Famalicão,5300,£-1.08m,João Pedro Sousa,https://www.transfermarkt.co.uk/fc-famalicao/startseite/verein/3329
235,rkc-waalwijk,Rkc Waalwijk,NL1,NL1,7.97,24,25.0,12,50.0,3,Mandemakers Stadion,7508,+£180Th.,Fred Grim,https://www.transfermarkt.co.uk/rkc-waalwijk/startseite/verein/235
127,sc-paderborn-07,Sc Paderborn 07,L1,L1,13.75,31,24.8,5,16.1,1,Benteler-Arena,15000,+£2.07m,Steffen Baumgart,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
41201,pfk-tambov,Pfk Tambov,RU1,RU1,,0,0.0,0,,0,Mordovia Arena,44149,+-0,Aleksandr Grigoryan,https://www.transfermarkt.co.uk/pfk-tambov/startseite/verein/41201
41231,fk-sochi,Fk Sochi,RU1,RU1,27.9,24,28.3,8,33.3,2,Fisht Olympic Stadium,43700,£-3.45m,Aleksandr Tochilin,https://www.transfermarkt.co.uk/fk-sochi/startseite/verein/41231
48332,kolos-kovalivka,Kolos Kovalivka,UKR1,UKR1,9.29,27,26.4,8,29.6,3,Kolos,5050,+£5Th.,Ruslan Kostyshyn,https://www.transfermarkt.co.uk/kolos-kovalivka/startseite/verein/48332
60551,sk-dnipro-1,Sk Dnipro 1,UKR1,UKR1,10.89,20,25.1,5,25.0,1,Dnipro-Arena,31003,£-360Th.,Dmytro Mykhaylenko,https://www.transfermarkt.co.uk/sk-dnipro-1/startseite/verein/60551
833,denizlispor,Denizlispor,TR1,TR1,2.0,14,22.2,1,7.1,0,Denizli Atatürk Stadı,18745,+-0,Yücel Ildiz,https://www.transfermarkt.co.uk/denizlispor/startseite/verein/833
